Game,Platform,Release Date,Genres,Rating,Average Hours,Minimum PC Requirements,Developer,Image Link
Hotel Giant 2,PC,2010-01-27,Simulation,0.0,44.0,Minimum:OS: Windows 98 2000 ME XP Vista 7 8 (Windows 95 and NT not supported)Processor: 1.5 GHz CPUMemory: 512 MB RAMGraphics: NVIDIA GeForce 5 series or above ATI Radeon 9 series or above with at least 256MB video memoryHard Drive: 2 GB of free spaceSound: DirectX 9 compatible sound card,Enlight Software,//upload.wikimedia.org/wikipedia/en/7/7b/Maximum_Capacity_Hotel_Giant_cover.jpg
Port Royale 2,PC,2004-09-12,Strategy,4.14,43.95,OS: Windows XP / VistaProcessor: Pentium III (or compatible) with 700MHz (or higher)Memory: 128 MB RAM (for Windows 98SE or ME) 256 MB RAM (for Windows 2000 or XP)Graphics: DirectX-8 compatible Graphic CardDirectX(r): DirectX 9Hard Drive: 700MB of free spaceSound: DirectX-8 compatible Sound Card,Ascaron Entertainment,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Port_Royale_2_Cover.jpg/220px-Port_Royale_2_Cover.jpg
Left 4 Dead,PC,2008-11-17,Shooter,4.11,42.45,Minimum:                    Supported OS: Windows(r) 7 32/64-bit / Vista 32/64 / XP                    Processor: Pentium 4 3.0GHz                     Memory: 1 GB                    Graphics: 128 MB Shader model 2.0 ATI 9600 NVidia 6600 or better                     Hard Drive: At least 7.5 GB of free space                    Sound Card: DirectX 9.0c compatible sound card,Valve South,//upload.wikimedia.org/wikipedia/en/thumb/5/5b/Left4Dead_Windows_cover.jpg/220px-Left4Dead_Windows_cover.jpg
Euro Truck Simulator 2,PC,2012-10-19,Indie,4.05,42.26,Minimum:OS: Windows 7Processor: Dual core CPU 2.4 GHzMemory: 4 GB RAMGraphics: GeForce GTS 450-class (Intel HD 4000)Hard Drive: 3 GB available space,SCS Software,//upload.wikimedia.org/wikipedia/en/thumb/0/0e/Euro_Truck_Simulator_2_cover.jpg/220px-Euro_Truck_Simulator_2_cover.jpg
Left 4 Dead 2,PC,2009-11-17,Shooter,4.09,41.94,Minimum:OS: Windows(r) 7 32/64-bit / Vista 32/64 / XPProcessor: Pentium 4 3.0GHzMemory: 2 GB RAMGraphics: Video card with 128 MB Shader model 2.0. ATI X800 NVidia 6600 or betterDirectX: Version 9.0cStorage: 13 GB available spaceSound Card: DirectX 9.0c compatible sound card,Valve,//upload.wikimedia.org/wikipedia/en/thumb/b/ba/Left4Dead2.jpg/220px-Left4Dead2.jpg
X Rebirth,PC,2013-11-14,Action,3.03,40.0,Minimum:OS: Windows 10 (64-bit) Windows 8 (64-bit) Windows 7 SP1 (64-bit) Vista SP2 (64-bit) XP SP3 (64-bit)Processor: Intel i-Series at 2GHz or AMD equivalentMemory: 4 GB RAMGraphics: Nvidia GT400 series with 512MB RAM or better ATI 4870HD with 512MB RAM or betterDirectX: Version 9.0cStorage: 8 GB available spaceSound Card: DirectX 9.0c Compatible Sound Card,Egosoft,//upload.wikimedia.org/wikipedia/en/thumb/e/e6/X_Rebirth_logo.gif/250px-X_Rebirth_logo.gif
Mass Effect,PC,2007-11-16,Action,4.4,37.82,Supported OS: Microsoft Windows(r) XP with SP2 or Windows Vista*                    Processor: Intel P4 2.4 Ghz or faster / AMD 2.0 Ghz                    Memory: 1.0 GB RAM or more (2.0 GB for Vista)                    Graphics: DirectX 9.0c compatible ATI X1300 XT or greater (ATI X1300 X1300 Pro X1600 Pro Radeon 2600  HD and HD 2400 are below minimum system requirements); NVidia GeForce 6800 or greater (7300 7600 GS 8500 are below minimum system requirements)                    Hard Drive: 12.0 GB or more free hard drive space                     Sound: DirectX 9.0c compatible                    DirectX(r): 9.0c                    * WINDOWS VISTA OR WINDOWS 7 USERS: Launching Mass Effect from Steam requires the setting Run as Administrator. If the User Account Control feature of Windows Vista is enabled launching Mass Effect from Steam will result in failure. For users with User Account Control enabled launch Steam using the Run as Administrator option or launch from the windows shortcut.                    INTERNET CONNECTION AND END USER LICENSE AGREEMENT REQUIRED TO PLAY.  MORE INFORMATION IS AVAILABLE AT WWW.EA.COM.,Science fiction,//upload.wikimedia.org/wikipedia/en/thumb/9/9c/Logo_of_Mass_Effect.png/250px-Logo_of_Mass_Effect.png
Pillars of Eternity,PC,2015-03-26,RPG,3.97,37.15,Minimum:OS: Windows Vista 64-bit or newerProcessor: Intel Core i3-2100T @ 2.50 GHz / AMD Phenom II X3 B73Memory: 4 GB RAMGraphics: ATI Radeon HD 4850 or NVIDIA GeForce 9600 GTStorage: 14 GB available spaceSound Card: DirectX Compatible Sound Card,Obsidian Entertainment,//upload.wikimedia.org/wikipedia/en/thumb/c/ca/Pillars_of_Eternity.jpg/220px-Pillars_of_Eternity.jpg
EVE Online,PC,2003-05-06,Strategy,3.42,34.89,Minimum: Supported OS: Windows 7 / 8.1 / 10Processor: CPU that supports SSE2 (Intel Dual Core @ 2.0 GHz AMD Dual Core @ 2.0 GHz)Memory: 2 GBHard Drive: 20 GB Free Space  Video: GPU with 256 MB VRAM or more that supports Shader Model 3 and DirectX 9.0c (AMD Radeon 2600 XT or NVIDIA GeForce 8600 GTS)Audio: Supports SSE Direct Sound compatibleDrivers: DirectX(r) 9.0c (included) and latest video driversNetwork: ADSL connection (or faster)Note that older graphics cards such as the NVIDIA 6000 and 7000 series may work but are not officially supported. Please note that Windows 95 98 ME NT 2000 XP and Vista are not supported.Note: the minimum screen resolution for EVE is 1024x768. Audio hardware must be Direct Sound compatible. For optimum performance use latest drivers available.,CCP Games,//upload.wikimedia.org/wikipedia/en/thumb/2/29/Eve-online_cover.png/220px-Eve-online_cover.png
Dungeon Defenders,PC,2010-12-16,Strategy,3.24,34.38,Minimum:OS: Windows XPProcessor: 1 Ghz Dual-Core CPUMemory: 1 GB RAMHard Disk Space: 2GBVideo Card: Graphics Card with Shader Model 3 support 256 MB video memoryDirectX(r): 9.0cSound: DirectSound-compatible sound device,Trendy Entertainment,//upload.wikimedia.org/wikipedia/en/6/62/Dungeon_Defenders_cover.png
