Game,Minimum PC Requirements,Average Hours,Platform
Split/Second,Minimum:OS: Microsoft Windows 7 / Vista SP2 / XP SP3Processor: 3.0 GHz Intel Pentium D processor (Windows 7 / Vista) / 2.6 GHz Intel Pentium D processor (Windows XP) or 2.0 GHz AMD Athlon 64 X2 or equivalent processorMemory: 2560 MB RAMGraphics: 256 MB DirectX 9.0c-compatible 3D video card supporting Shaders 3.0 (NVIDIA GeForce 7600 or better ATI Radeon X1600 or better)DirectX: Version 9.0cStorage: 6656 MB available spaceSound Card: 16-bit DirectX 9.0c-compatible sound cardAdditional Notes: Onboard (built-in) integrated chipsets are not supported,3.95,PC
Grand Theft Auto III,Minimum:OS: Microsoft(r) Windows(r) 2000/XPProcessor: Pentium III(r) 450 MHz CPUMemory: 96 MB RAMGraphics: 16 MB Direct 3D Video CardDirectX Version: Microsoft DirectX(r) 8.1Hard Drive: 500 MB uncompressed free hard disk spaceSound Card:Fully DirectX compatible Sound CardRecommended:Processor: 700 MHz CPUMemory: 128 MB RAMGraphics: 32 MB Direct3D Video Card,3.66,PC
The Longest Journey,Minimum: Windows 2000/XP Pentium 166 MMX  32 MB RAM Mouse and Keyboard 640x480 SVGA high colour (16bit) video card with 2 MB RAM Windows compatible sound device 300 MB free hard drive spaceRecommended: Pentium II 266 mhz 64 MB RAM  3d accelarator card ( Direct 3d compatible ) with 4 MB RAM 1GB free hard drive space,3.56,PC
Railroad Tycoon 3,Minimum: Windows 2000/XP (only) 400 mhz 128 MB RAM 1.2 GB Free Disk Space 16 MB 3D Video Card mouse and keyboard DirectX compatible sound card with speakers/headphones recommended.,3.52,PC
Botanicula,OS:Microsoft(r) Windows(r) XP/Vista/7Processor:1.6 Ghz ProcessorMemory:1 GB RAMDirectX(r):5.0Hard Drive:700 MB HD space,3.08,PC
Braid,Operating System: Microsoft(r) Windows(r) XP / Vista / 7                  Processor: 1.4GHz or faster                    Memory: 768 MB or more                    Hard Disk Space: 200 MB or more                    Video Card: Pixel Shader 2.0                    DirectX(r) Version: DirectX(r) 9.0c                    Controller Support: Microsoft Xbox 360 Controller for Windows,2.89,PC
Sengoku,OS: Windows XP Vista 7Processor:  Intel(r) Pentium(r) IV 2.4 GHz or AMD 3500+Memory: 2 Gb RAMHard Disk Space: 2 GB Available HDD SpaceVideo Card: NVIDIA(r) GeForce 8800 or ATI Radeon(r) X1900DirectX(r): 9.0cSound: Direct X-compatible sound card,2.86,PC
Syberia,OS: Windows XP/Vista/7 Processor: 1GHz CPU Memory: 512MBHard Disk Space: 1.2GBVideo Card: DirectX compatible graphics card with 128 MB memoryDirectX(r): 9.0cSound: Sound card with DirectX 9.0c support,2.66,PC
Oil Rush,Minimum:OS: XP                Processor: 2 GHz                Memory: 1 GB RAM                Graphics: NVIDIA 9600 256 MB or Intel HD 4000                Hard Drive: 3 GB HD space,2.38,PC
World of Goo,Minimum:Supported OS: Windows(r) XP or VistaProcessor: 1GHz or fasterMemory: 512+MB RAMVideo: Any 3D graphics accelerator less than 5 years oldDirectX(r) Version: 9.0c                    Hard Drive: 100MB,2.25,PC
Jack Keane,Minimum:OS: Microsoft Windows XP Windows VistaProcessor: Pentium IV 2 GHz / Athlon 2.4 GHzMemory: 512 MB RAM Graphics: DirectX 9.0c-compatible graphic card with 128 MB RAM (MX series and XGI Volari are not supported)Hard Drive: 1.5 GB hard-disk capacity Input Devices:  DirectX 9.0c-compatible keyboard and mouse,2.2,PC
Post Mortem,Operating system:Windows(r) XP / Vista(tm) / Windows(r) 7 Processor:1.0 GHz CPUMemory:512 GB Hard disk space:1GB Video:Video Card with 64MB dedicated memory Sound:Sound card with DirectX 9.0c supportDirectX(r):9.0c,2.1,PC
Sacred Gold,Minimum: Supported OS: Windows 2000/XP Processor: Intel Pentium(r) III 800 MHzMemory: 256 MB RAMGraphics: 16 MB DirectX 8 compatible graphics cardDirectX: DirectX(r) 9.0cSound: DirectX compatible sound cardHard Drive: 2 GB HD Space,1.93,PC
Hospital Tycoon,Minimum:                     Supported OS: Windows XP                    Processor: Pentium 4 @ 1.6 GHz or Athlon 1600+                    System Memory: 512MB RAM                    Video Card: GeForce 3 / Radeon 8500*                    Sound Card: DirectX Compatible Sound Card                    DirectX Version: DirectX 9.0c                    Hard Disk: 750 MB Hard Drive Space                    *Supported Graphics Cards:                    ATi Radeon 8500 9000 9100 9200 9500 9600 9700 9800 X300 X600 X700 X800 X1300 X1600 X1800 X1900 X1950                    nVidia Geforce 3-series 4-series (Not MX) FX5200 FX5600 FX5700 FX5950 6600 6800 7100 7300 7600 7800 7900 7950 8800.                     Not compatible with all integrated sound/graphics solutions (inc. Laptops).,1.56,PC
Tomb Raider II,Minimum:OS:Windows XP / Windows Vista / Windows 7Processor:1.8 GHz ProcessorMemory:512 MB RAMGraphics:3D graphics card compatible with DirectX 9DirectX(r):9.0Hard Drive:2 GB HD space,1.5,PC
Euro Truck Simulator,Minimum:OS: Windows XPProcessor: 2.4 GHzMemory: 1 GB RAMGraphics: 256 MBDirectX(r): 9.0cHard Drive: 2 GB HD spaceSound: Any DirectX compatibleAdditional: Gamepad or steering wheel recommended,1.44,PC
The Next BIG Thing,OS: Microsoft Windows XP SP2 Vista SP1 or 7 Processor: Intel/AMD 2.0GHZ equivalent or higherMemory: 1GB (XP)/2GB (Vista/7)Hard Disk Space: 8GBVideo Card: : 256 MB 100% DirectX 9 compatible ATI Radeon X800/Intel GMA 3000/Nvidia GeForce 6800 or Higher*DirectX(r): 9.0Sound: DirectX 9 compatibleAdditional: INTERNET CONNECTION REQUIRED FOR GAME ACTIVATION. *SIS AND VIA/S3G Graphics Controllers Not Supported,1.35,PC
The Inner World,Minimum:OS: Microsoft(r) Windows(r) XP Windows Server 2008 Windows Vista(r) Home Premium Business Ultimate or Enterprise (including 64 bit editions) with Service Pack 2 Windows 7 or Windows 8 ClassicProcessor: 2.33GHz or faster x86-compatible processor or Intel Atom(tm) 1.6GHz or faster processor for netbook class devicesMemory: 2 GB RAMStorage: 1400 MB available space,1.3,PC
World of Zoo,OS: Microsoft Windows XP/VistaProcessor: Intel Pentium IV processor running at 2 GHz AMD 64 Core 2 duo 1.6Ghz  or equivalent Memory: 512 MB RAM (1 GB RAM on Vista)Graphics: Nvidia GeForce 6600 GT or ATI Radeon x1600 with at least 64MB of memory (video cards with Pixel Shader version 1.1 or better are required)Display: DirectX-compatible display capable of 800x600 resolution in 16-bit colorDirectX(r): DirectX 9.0c and aboveHard Drive: 2GB of hard drive spaceSound: Sound: 16-bit Sound Blaster Compatible,1.2,PC
Legendary,Minimum:                    OS: Windows XP SP2 or Windows Vista                     Processor: 2.0+ GHZ Single Core Processor                     Memory: 512MB of System RAM                     Graphics: Nvidia 6200+ or ATI Radeon 9600+ Video Card                     Hard Drive: 10GB of Free Hard Drive Space,1.0,PC
Trapped Dead,OS: Windows(r) XP/Vista/7Processor: 2.0GHz CPU Memory: 1GBHard Disk Space: 2GB Video Card: Graphics card supporting shader 3.0 (onboard chipsets are not supported)DirectX(r): 9.0cSound: Sound card with DirectX 9.0c support,1.0,PC
Bejeweled 2 Deluxe,Minimum Requirements: Windows 98/ME/2000/XP 128 MB RAM 500MHz or faster DirectX: 7.0,0.8,PC
15 Days,Minimum:OS: Windows XP / Vista / 7 / 8 32 or 64 bitProcessor: 16 GHz Intel or AMDMemory: 1 GB RAMGraphics: DirectX 9 compliant video card Shader Model 2 and 128 MB VRAMDirectX: Version 9.0cStorage: 4 GB available spaceSound Card: DirectX compatible card,0.5,PC
Alone in the Dark,Minimum:OS: Windows(r) XP/Vista 32 64 bitProcessor: Intel Pentium(r) D 2.6 GHz AMD Athlon(tm) X2 3800+Memory: 1 GB RAMGraphics: NVIDIA GeForce 7600 ATI Radeon X1650 XTDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 9 GB available spaceAdditional Notes: An internet connection is needed at install first launch and to revoke license.,0.4,PC
The 7th Guest,Minimum:OS: Windows XP / Vista / 7Processor: 1.8 GHz ProcessorMemory: 512 MB RAMGraphics: 3D graphics cardDirectX: Version 9.0cStorage: 2 GB available space,0.25,PC
Praetorians,Minimum:OS: Windows XPProcessor: 1 GHz ProcessorMemory: 256 MB RAMGraphics: 3D graphics card compatible with DirectX 7DirectX: Version 7.0Storage: 500 MB available spaceSound Card: DirectX 9 compatible sound,0.15,PC
